No,Caso de Prueba,Precondiciones,Datos de la prueba,Pasos,Resultado esperado,Resultado obtenido,Estatus,Enlace al defecto
1,"Agregar 1 producto válido a un kit existente","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 1
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
2,"Agregar cantidad máxima permitida de productos únicos (Límite: 30)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{
  ""productsList"": [
    {""id"": 1, ""quantity"": 1},
    {""id"": 2, ""quantity"": 1},
    {""id"": 3, ""quantity"": 1},
    {""id"": 4, ""quantity"": 1},
    {""id"": 5, ""quantity"": 1},
    {""id"": 6, ""quantity"": 1},
    {""id"": 7, ""quantity"": 1},
    {""id"": 8, ""quantity"": 1},
    {""id"": 9, ""quantity"": 1},
    {""id"": 10, ""quantity"": 1},
    {""id"": 11, ""quantity"": 1},
    {""id"": 12, ""quantity"": 1},
    {""id"": 13, ""quantity"": 1},
    {""id"": 14, ""quantity"": 1},
    {""id"": 15, ""quantity"": 1},
    {""id"": 16, ""quantity"": 1},
    {""id"": 17, ""quantity"": 1},
    {""id"": 18, ""quantity"": 1},
    {""id"": 19, ""quantity"": 1},
    {""id"": 20, ""quantity"": 1},
    {""id"": 21, ""quantity"": 1},
    {""id"": 22, ""quantity"": 1},
    {""id"": 23, ""quantity"": 1},
    {""id"": 24, ""quantity"": 1},
    {""id"": 25, ""quantity"": 1},
    {""id"": 26, ""quantity"": 1},
    {""id"": 27, ""quantity"": 1},
    {""id"": 28, ""quantity"": 1},
    {""id"": 29, ""quantity"": 1},
    {""id"": 30, ""quantity"": 1}
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
3,"Exceder cantidad máxima permitida de productos únicos (Límite + 1: 31)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{
  ""productsList"": [
    {""id"": 1, ""quantity"": 1},
    {""id"": 2, ""quantity"": 1},
    {""id"": 3, ""quantity"": 1},
    {""id"": 4, ""quantity"": 1},
    {""id"": 5, ""quantity"": 1},
    {""id"": 6, ""quantity"": 1},
    {""id"": 7, ""quantity"": 1},
    {""id"": 8, ""quantity"": 1},
    {""id"": 9, ""quantity"": 1},
    {""id"": 10, ""quantity"": 1},
    {""id"": 11, ""quantity"": 1},
    {""id"": 12, ""quantity"": 1},
    {""id"": 13, ""quantity"": 1},
    {""id"": 14, ""quantity"": 1},
    {""id"": 15, ""quantity"": 1},
    {""id"": 16, ""quantity"": 1},
    {""id"": 17, ""quantity"": 1},
    {""id"": 18, ""quantity"": 1},
    {""id"": 19, ""quantity"": 1},
    {""id"": 20, ""quantity"": 1},
    {""id"": 21, ""quantity"": 1},
    {""id"": 22, ""quantity"": 1},
    {""id"": 23, ""quantity"": 1},
    {""id"": 24, ""quantity"": 1},
    {""id"": 25, ""quantity"": 1},
    {""id"": 26, ""quantity"": 1},
    {""id"": 27, ""quantity"": 1},
    {""id"": 28, ""quantity"": 1},
    {""id"": 29, ""quantity"": 1},
    {""id"": 30, ""quantity"": 1},
    {""id"": 31, ""quantity"": 1}
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
4,"Añadir productos repetidos (no afecta límite)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 50
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
5,"ID de Kit no existente (Límite inválido)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/9999/products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 1
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/9999/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 404 Not Found",,,
6,"ID de Kit como número romano (Clase inválida)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/VI/products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 1
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/VI/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
7,"ID de Kit como decimal (Clase inválida)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6.5/products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 1
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/6.5/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
8,"ID de Kit como palabra en inglés (Clase inválida)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/six/products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 1
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/six/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
9,"ID de Kit vacío (Clase inválida)","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits//products

Body:
{
  ""productsList"": [
    {
      ""id"": 1,
      ""quantity"": 1
    }
  ]
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits//products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 404 Not Found",,,
10,"Body: productsList como String en vez de Array","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{
  ""productsList"": ""id: 1, quantity: 1""
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
